,R,MDG,SV,A,Sp,KrF,V,H,FrP,Andre,Totalt antall stemmer
Hele landet,5.7,6.8,10,27.8,6.8,3.1,7.4,15.1,10.4,6.9,2948884
Østfold,6.1,7.4,12.1,29.8,6,3.5,4.7,14.4,11,5,163279
Akershus,3.6,6.1,11.6,29.4,3.2,1.7,10.2,16.9,8.6,8.7,342580
Oslo,7.6,8.9,11.2,27.6,0.9,1.1,12.6,16.6,6.6,6.9,372341
Hedmark,6.5,6.2,10.2,29.1,14.2,2.4,5.7,11.9,7.2,6.6,114265
Oppland,5.2,7.1,6.4,37.6,15.5,1.6,3.9,9.9,8.1,4.7,108587
Buskerud,5.1,7.5,8.9,30.9,7.7,2.1,6.5,15.3,12.4,3.6,155669
Vestfold,6.9,6,10.7,35.1,2.4,3.1,6.2,16.3,7.8,5.5,143127
Telemark,8.4,5.3,9.4,33.2,7.5,3.9,3.6,14.4,11.3,3,99372
Aust-Agder,4.9,6.6,8.2,27.4,4.1,7,5.2,15.8,11.2,9.6,64978
Vest-Agder,2.6,9.4,8.3,23.7,3.6,8.2,6,13.8,18.5,5.9,101819
Rogaland,4.4,7.2,6.8,23.6,4.7,5.7,7.8,19.7,10.7,9.4,250935
Hordaland,6.1,6.2,12.3,21.5,5.6,3,8.9,17.1,10.1,9.2,299100
Sogn og Fjordane,2.8,9,8.1,26.6,20,4.7,6.9,10.4,8,3.5,62135
Møre og Romsdal,5.3,5.3,7.7,23.4,6.9,2.6,8.2,18.2,16.5,5.9,146955
Sør-Trøndelag,5.7,7.9,9.9,31.8,8.1,1.9,5.4,11.5,9.7,8.1,183953
Nord-Trøndelag,2.9,4.3,6.3,36.3,20.7,2.2,5,8,8.6,5.7,78092
Nordland,9,4.5,16,21.8,9,3,5.7,11.6,12.7,6.7,135220
Troms,10,6.5,7.1,25.4,17.4,3.2,6.2,9.7,9.6,4.9,91064
Finnmark,7,6.5,16,24.9,6.1,1.8,5.6,12.2,15.3,4.6,38454
,,,,,,,,,,,
Østfold,6041.323,4735.091,6367.881,54698.465,16981.016,8327.229,3755.417,33635.474,24818.408,3918.696,163279
Akershus,10277.4,17471.58,15073.52,91126.28,20212.22,9592.24,17129,104486.9,52072.16,5138.7,342580
Oslo,25319.188,26436.211,31648.985,99042.706,9680.866,11542.571,19361.732,108351.231,38723.464,2234.0459999999,372341
Hedmark,2513.83,3313.685,5827.515,41592.46,26623.745,3199.42,3542.215,15311.51,10055.32,2285.3,114265
Oppland,2823.262,3583.371,4886.415,37788.276,25952.293,2714.675,2171.74,16396.637,10098.591,2171.74,108587
Buskerud,2957.711,4981.408,7005.105,45611.017,16033.907,4670.07,5604.084,41407.954,24595.702,2802.042,155669
Vestfold,3291.921,4436.937,7156.35,42651.846,11163.906,7013.223,5295.699,38644.29,21182.796,2290.032,143127
Telemark,2782.416,4173.624,5167.344,32097.156,15998.892,6260.436,2782.416,14110.824,12719.616,3279.276,99372
Aust-Agder,1039.648,1884.362,2729.076,17219.17,7667.404,7407.492,2469.164,13060.578,9746.7,1754.406,64978
